valor,codigo
HOSPITAL ANA NERY,0003875
UNIDADE EMERGENCIA GERCINO COELHO,0003913
CICAN,0003921
UBS PROF MARIO ANDREA,0003964
UNIDADE DE EMERGENCIA DE PLATAFORMA,0003972
HOSPITAL ELADIO LASSERRE,0003980
UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,0003999
UBS RODRIGO ARGOLO,0004030
HOSPITAL ESPANHOL,0004057
HOSPITAL ESPECIALIZADO OCTAVIO MANGABEIRA,0004065
HOSPITAL GERAL ERNESTO SIMOES FILHO,0004073
HOSPITAL GERAL JOAO BATISTA CARIBE,0004081
UBS ALFREDO BUREAU,0004154
MATERNIDADE TSYLLA BALBINO,0004170
HOSPITAL PORTUGUES,0004251
HOSPITAL MARTAGAO GESTEIRA,0004278
HOSPITAL JULIANO MOREIRA,0004286
HOSPITAL GERAL DO ESTADO,0004294
PA DR HELIO MACHADO,0004340
UBS MACIEL PELOURINHO,0004383
UBS PROF CLEMENTINO FRAGA,0004405
CSM ARISTIDES NOVIS,0004421
UBS DO CSU PERNAMBUES,0004448
UNIDADE DE EMERGENCIA PROF HOSANAH D OLIVEIRA,0004456
SANATORIO SAO PAULO,0004472
INSBOT BARBALHO,0004502
UBS SANTO ANTONIO,0004545
USF CAJAZEIRAS X,0004618
MATERNIDADE CLIMERIO DE OLIVEIRA,0004731
PA PROF ADROALDO ALBERGARIA,0004774
UBS DR ORLANDO IMBASSAHY,0004804
C. S. CAJAZEIRAS V,0004871
HOSPITAL EVANGELICO DA BAHIA HEB,0004979
HOSPITAL PROFESSOR CARVALHO LUZ,0004987
NOB NUCLEO DE ONCOLOGIA DA BAHIA SC LTDA,0005118
CENTRO PEDIATRICO PROF HOSANNAH OLIVEIRA,0005126
USF CAJAZEIRAS IV,0005282
CATO VITORIA,0005355
8 CS SIGFRIED S SCHINDLER,0005363
HOSPITAL COUTO MAIA,0005428
HOSPITAL ESPECIALIZADO MARIO LEAL,0005436
CLINICA SAO MARCOS,0005517
ONCO,0005525
IGA INSTITUTO GERALDO ANDRADE DE MEDICINA,0005533
CLION,0005630
INSBOT PERNANBUES,0005703
GASTROCLINICA DA BAHIA,0006041
CLINICA SENHOR DO BONFIM SAGRADA FAMILIA,0006173
CLINIRIM,0006203
UBS SAO CRISTOVAO,0006424
ECCO,0006432
UBS MANOEL VITORINO,0006831
USF DO ALTO DAS POMBAS,0006866
UAO 2,0007048
CLISUR,0007382
SANATORIO BAHIA,0007439
UNIDADE DE EMERGENCIA DO CURUZU,0007587
HOSPITAL SAO JOSE,0007641
HOSPITAL FRANCISCO MAGALHAES,0007684
USF DE CASTELO BRANCO,0007730
MATERNIDADE DO POVO DE CASTANHAL,0007900
HOSPITAL MUNICIPAL ANTONIO GIGLIO,0008028
HOSPITAL MATERNIDADE AMADOR AGUIAR,0008036
HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES,0008052
UBS III DR ANISIO ROSAN,0008079
PRONTO SOCORRO CONRADO CESARINO NUVOLINI,0008087
UBS III DARCY ALVES E ROBALINHO,0008095
UBS III SYLVIO JOAO L DE LUCIA,0008109
UBS III MARIA GIRADE CURY,0008117
UBS III MARCIO VALDEVINO BATISTA,0008133
PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA,0008141
UBS III MARIA GATTI GIGLIO,0008168
UBS III NEYDE ALVES DA SILVA,0008176
UBS III OTACILIO FIRMINO LOPES,0008257
LAR BUSSOCABA ASSISTENCIA VICENTINA,0008478
PRONTO ATENDIMENTO BANGU,0008494
UNIDADE DE SAUDE VILA HUMAITA,0008648
UNIDADE DE SAUDE VILA HELENA,0008680
UNIDADE DE SAUDE VILA LUZITA,0008788
UNIDADE DE SAUDE PARQUE ANDREENSE,0008850
CENTRO DE REABILITACAO MUNICIPAL SANTO ANDRE CREM,0008893
CENTRO HOSPITALAR DE SANTO ANDRE,0008923
UNIDADE DE PRONTO ATENDIMENTO SAUDE MENTAL,0009008
UBS NOVO HORIZONTE,0009040
UPA SAO FRANCISCO XAVIER,0009164
UBS JARDIM ORIENTE,0009229
UBS EUGENIO DE MELO,0009253
UPA ALTO DA PONTE,0009296
UBS CAMPO DOS ALEMAES,0009458
HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO,0009539
HOSPITAL PIO XII,0009601
HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE,0009628
CHUI,0009636
HOSPITAL UNIVERSITARIO MARIA APARECIDA PEDROSSIAN,0009709
SANTA CASA,0009717
HOSPITAL REGIONAL DE MATO GROSSO DO SUL,0009725
HOSPITAL SAO JULIAO,0009733
AAMI,0009768
HOSPITAL DO CANCER PROF DR ALFREDO ABRAO,0009776
PRONCOR,0009784
HOSPITAL NOSSO LAR,0009792
UNIDADE DE PRONTO ATENDIMENTO DR WALFRIDO ARRUDA,0010049
CRS DR GERMANO BARROS DE SOUZA UNIVERSITARIO,0010057
CRS DR MARCILIO DE OLIVEIRA LIMA MORENINHA,0010065
CRS DR ANTONIO PEREIRA TIRADENTES,0010073
CRS DR JOSE GILBERTO ABUHASSAN VILA ALMEIDA,0010081
CRS DR GUNTER HANS NOVA BAHIA,0010103
CRS DR WALDECK F DE CASTRO MAIA COOPHAVILA II,0010111
CRS DR JOAO PEREIRA DA ROSA AERO RANCHO,0010243
UBS ESTRELA DO SUL U B S DR WILLIAN MAKSOUD,0010324
CRS DR ENIO CUNHA GUANANDY,0010383
HBDF HOSPITAL DE BASE DO DISTRITO FEDERAL,0010456
HRAN,0010464
HRG,0010472
HRC CEILANDIA,0010480
HRT HOSPITAL REGIONAL DE TAGUATINGA,0010499
HRS,0010502
HOSPITAL UNIVERSITARIO DE BRASILIA,0010510
HRP,0010529
HRAS,0010537
HRBZ,0010545
HFA,0010561
UNIDADE MISTA DE TAGUATINGA,0010588
HSVP,0010618
CSSM 01 SANTA MARIA,0010782
CSSB 01 SAO SEBASTIAO,0010790
CSNB 02 NUCLEO BANDEIRANTE,0011126
CSCA 01 CANDANGOLANDIA,0011185
SEANE,0011320
HOSPITAL SANTA RITA DE CASSIA VITORIA,0011738
SANTA CASA DE VITORIA,0011746
HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA,0011800
HOSPITAL SAO LUCAS,0011819
PRONTO ATENDIMENTO SAO PEDRO,0011835
PRO MATRE,0011843
UNIDADE DE SAUDE ILHA DO PRINCIPE,0011916
HAFPES,0011991
HOSPITAL PEDIATRICO DE VITORIA,0012009
HOSPITAL DA POLICIA MILITAR HPM,0012017
UNIDADE DE SAUDE JARDIM CAMBURI,0012033
HOSPITAL UNIVERSITARIO ANTONIO PEDRO,0012505
HOSPITAL MUNICIPAL CARLOS TORTELLY,0012513
HOSPITAL ESTADUAL AZEVEDO LIMA,0012521
HOSPITAL POLICIA MILITAR NITEROI,0012548
HOSPITAL ORENCIO DE FREITAS,0012556
POLICLINICA DE ESPECIALIDADES SYLVIO PICANCO,0012564
HOSPITAL GETULIO VARGAS FILHO,0012599
POLICLINICA COMUNITARIA DA ENGENHOCA,0012637
HOSPITAL SAO PAULO,0012653
CLINICA SANTA JULIANA,0012688
HOSPITAL PSIQUIATRICO DE JURUJUBA,0012718
POLICLINICA COMUNITARIA DO LARGO DA BATALHA,0012734
CASA DE SAUDE ALFREDO NEVES LTDA,0012742
CLINICA SAO FRANCISCO,0012750
HOSPITAL ESTADUAL ARY PARREIRAS,0012769
SEAP RJ HOSPITAL PENAL DE NITEROI,0012815
SEAP RJ HOSPITAL DE CUST E TRAT PSIQUIATRICO HENRI,Q0012823
POLICLINICA COMUNITARIA DA ILHA DA CONCEICAO DR RU,Y0012858
SERVICO DE PRONTO ATENDIMENTO PROF ROCHED SEBA,0012890
CENTRO DE SAUDE DE ADRIANOPOLIS,0013102
UNIDADE DE SAUDE 24 HORAS MOYSES LUPION,0013129
PM ALMIRANTE TAMANDARE,0013285
UNIDADE DE SAUDE ELIZABETE DO NASCIMENTO,0013552
HOSPITAL MUNICIPAL BOM JESUS,0013579
HOSPITAL ANGELINA CARON,0013633
HOSPITAL MUNICIPAL SAO LUIZ,0013773
HOSPITAL E MATERNIDADE PAROLIN,0013838
MATERNIDADE NOSSA SENHORA DO ROCIO,0013846
CENTRO MEDICO HOSPITALAR,0013854
HOSPITAL SANTA CASA DE MISERICORDIA,0014109
CENTRAL HOSPITALAR,0014125
HOSPITAL POLICLINICA SAO MARCOS,0014133
UNIDADE DE SAUDE 24 HORAS,0014176
INSTITUTO DO RIM DE CAMPO MOURAO,0014214
UNIDADE DE SAUDE LAR PARANA,0014338
SANTA CASA DE COLOMBO,0014869
CENTRO DE SAUDE MARACANA,0014877
CENTRO DE SAUDE OSASCO,0014931
PA 24 HORAS ALTO MARACANA,0014990
HOSPITAL E MAT MIQUELINA FRANCO E B PADILHA,0015180
HOSPITAL UNIVERSITARIO EVANGELICO DE CURITIBA,0015245
HNSG,0015318
HOSPITAL SANTA CASA,0015334
HOSPITAL DO TRABALHADOR,0015369
HOSPITAL UNIVERSITARIO CAJURU,0015407
HOSPITAL OSWALDO CRUZ,0015415
HOSPITAL DA CRUZ VERMELHA,0015423
HOSPITAL INFANTIL PEQUENO PRINCIPE,0015563
HOSPITAL PSIQUIATRICO NOSSA SENHORA DA LUZ,0015571
HOSPITAL E MATERNIDADE SANTA IZABEL,0015601
INSTITUTO DE FISIOTERAPIA E REABILITACAO,0015628
HOSPITAL DE OLHOS DO PARANA,0015636
HOSPITAL ERASTO GAERTNER,0015644
ABIMED HOSP E MAT SANTA MADALENA SOFIA,0015660
MATERNIDADE NOSSA SENHORA DE FATIMA,0015717
FUNEF,0015768
CLINICA CAJURU SC LTDA,0015776
LABORATORIO MURICI,0015784
CLINICA HEIDELBERG,0015806
HOSPITAL SAO LUCAS,0015962
ANALISES CLINICAS CURITIBA,0016063
LACAM LAB DE ANALISES CLINICAS,0016071
CENTRO DE NEFROLOGIA NACOES,0016217
INSTITUTO HALSTED,0016233
HOSPITAL BOM RETIRO,0016365
CENTRO MEDICO COMUNITARIO BAIRRO NOVO,0016462
INSTITUTO DO RIM DO PARANA SC LTDA,0016500
LABORATORIO AGOSTINHO MACEDO,0016527
EKISREY SERV DE TOMOG COMPUT,0016543
UMS BARIGUI PSF,0016632
UMS ESTRELA PSF,0016659
UMS FANNY LINDOIA,0016667
UMS PAROLIN PSF,0016675
UMS SABARA PSF,0016683
UMS SANTA AMELIA,0016691
UMS SAO MIGUEL,0016713
UMS UNIAO DAS VILAS,0016780
UMS BOM PASTOR PSF,0016802
UMS PINHEIROS PSF,0016837
UMS AUGUSTA PSF,0016896
UMS BAIRRO NOVO PSF,0016934
UMS TRINDADE PSF,0017043
UMS LOTIGUACU PSF,0017086
UMS CAMARGO,0017094
UMS CAJURU,0017108
UMS ESMERALDA,0017124
UMS EUCALIPTOS,0017132
UMS VILA HAUER,0017221
UMS VISITACAO,0017248
UMS NOSSA SENHORA DA LUZ,0017272
UMS IPIRANGA,0017299
UMS VILA VERDE PSF,0017345
UMS TAIZ VIVIANE MACHADO PSF,0017388
CMUM BOA VISTA,0017396
UMS VISTA ALEGRE,0017418
UMS VILA DIANA,0017426
UMS VILA ESPERANCA PSF,0017434
UMS PILARZINHO,0017485
UMS BARREIRINHA,0017507
UMS VILA LEONICE PSF,0017558
UNIDADE DE SAUDE VILA MARLI,0017566
HOSPITAL E MATERNIDADE NOSSA SENHORA APARECIDA,0017574
UNIDADE DE SAUDE ARLETE RICHA PA 24 HS,0017582
HOSPITAL E MATERNIDADE ITAPERUCU,0017612
HOSPITAL REGIONAL DA LAPA SAO SEBASTIAO,0017663
HOSPITAL MUNICIPAL DE MANDIRITUBA,0017779
POLICLINICA PATO BRANCO SA,0017868
HOSPITAL SAO LUCAS DE PATO BRANCO LTDA,0017884
PRONTO ATENDIMENTO MUNICIPAL,0018023
CENTRO DE SAUDE DE PIEN,0018031
HOSPITAL E MATERNIDADE PINHAIS LTDA,0018090
HOSPITAL COLONIA ADAUTO BOTELHO,0018260
TULIO TELMO TAGLIARI,0018309
JOSE ROBERTO JACOMEL,0018317
LUIZ CESAR DA VEIGA PESSOA,0018325
HOSP E MAT N SR DA LUZ DOS PINHAIS E UN DE EMERGEN,C0018333
UNIDADE DE SAUDE EDUARDO ZIELONKA,0018341
HOSPITAL DE DERMATOLOGIA,0018368
ASJA,0018384
HOSPITAL PIRAQUARA,0018392
HOSPITAL MUNICIPAL DE RIO BRANCO DO SUL,0018600
UNIDADE AMBULATORIAL DE EMERGENCIA,0018678
HOSPITAL E MATERNIDADE BOM JESUS,0018694
CAIS NESTOR CRUZ SANTOS,0018791
HOSPITAL MUNICIPAL DR ATTILIO TALAMINI,0018813
CEM CENTRO ESPECIALIDADE MUNICIPAL,0018902
CAIS CENTRO SOCIAL URBANO,0018929
CAIS BORDA DO CAMPO,0018937
CAIS CARLOS NASCIMENTO CASTELHANO,0018945
NOVACLINICA HOSPITAL E MATERNIDADE,0019003
CLINICA DE DOENCAS RENAIS DE SAO JOSE DOS PINHAIS,0019054
HOSPITAL NOSSA SENHORA DAS DORES,0019194
UNIDADE MISTA DE SAUDE DE TUNAS DO PARANA,0019208
MATERNIDADE CARMELA DUTRA,0019283
HOSPITAL FLORIANOPOLIS,0019305
HOSPITAL DE CARIDADE,0019402
CEPON,0019445
US 167 UNIDADE MISTA PROF BARROS LIMA,0020516
MINI POSTO DR JOAQUIM DE LACERDA,0021385
PRONTO ATENDIMENTO DE VILA LUZITA,0021520
CENTRO DE SAUDE TUNEL DE IBIRITE,0022608
CENTRO DE SAUDE MIRAMAR,0022632
UNIDADE DE PRONTO ATENDIMENTO BARREIRO,0022683
CENTRO DE SAUDE MARCO ANTONIO DE MENEZES,0022918
CENTRO DE SAUDE VILA MARIA,0023019
CENTRO DE SAUDE CONJUNTO PAULO VI,0023035
UNIDADE DE PRONTO ATENDIMENTO NORDESTE,0023051
CENTRO DE SAUDE MARIVANDA BALEEIRO,0023124
CENTRO DE SAUDE SAO BERNARDO,0023213
CENTRO DE SAUDE FELICIDADE I,0023248
UNIDADE DE PRONTO ATENDIMENTO NORTE,0023272
CENTRO DE SAUDE MG20MONTE AZUL,0023280
UNIDADE DE PRONTO ATENDIMENTO OESTE,0023310
CENTRO DE SAUDE HAVAI,0023345
UNIDADE DE PRONTO ATENDIMENTO VENDA NOVA,0023582
CENTRO DE SAUDE ANDRADAS,0023590
CENTRO DE SAUDE JARDIM LEBLON,0023612
CENTRO DE SAUDE MINAS CAIXA,0023647
CENTRO DE SAUDE MANTIQUEIRA,0023655
CENTRO DE SAUDE SANTA MONICA,0023671
CENTRO DE SAUDE LAGOA,0023698
CENTRO DE SAUDE PROVIDENCIA,0023736
CENTRO DE SAUDE VISCONDE DO RIO BRANCO,0023744
CENTRO DE SAUDE BETANIA,0023760
CENTRO DE SAUDE JARDIM MONTANHES,0023914
CENTRO DE SAUDE NOSSA SENHORA APARECIDA,0024120
CENTRO DE SAUDE SANTA LUCIA,0024155
PRONTO ATENDIMENTO CENTRAL,0024228
UBS VILA ALMEIDA UBS DR ALBINO COIMBRA FILHO,0024422
UBS UNIVERSITARIO,0024430
UBS AERO RANCHO,0024449
PSF ACUDE II,0024627
CAIS CONFORTO,0024813
HOSPITAL MUNICIPAL SAO JOAO BATISTA,0025135
HOSPITAL MUNICIPAL DR MUNIR RAFFUL,0025143
HINJA,0025186
HOSPITAL EVANGELICO REGIONAL LTDA,0025194
MATERNIDADE MUNICIPAL HUMBERTO CARRANO,0025399
POSTO DE SAUDE COLONIA MARQUES DE ABRANTES,0025607
HOSPITAL VITA VOLTA REDONDA,0026050
CENTRO DE ATENCAO PSICOSOCIAL F GASPAR,0026123
HOSPITAL DE CLINICAS SUL,0026417
HOSPITAL SEMPER,0026727
HOSPITAL NOSSA SENHORA APARECIDA,0026743
HOSPITAL E MATERNIDADE RG LTDA,0026778
HOSPITAL SOS,0026786
HOSPITAL SOFIA FELDMAN,0026794
HOSPITAL EVANGELICO,0026808
SOCOR,0026824
HOSPITAL SAO FRANCISCO DE ASSIS,0026840
HOSPITAL FELICIO ROCHO,0026859
HOSPITAL INFANTIL SAO DOMINGOS SAVIO LTDA,0026867
HOSPITAL SAO BENTO,0026875
MATER CLINICA,0026905
HOSPITAL GALBA VELLOSO,0026913
HOSPITAL JOAO XXIII,0026921
HOSPITAL INFANTIL JOAO PAULO II,0026948
HOSPITAL ALBERTO CAVALCANTI,0026964
MATERNIDADE ODETE VALADARES,0026972
HOSPITAL MARIA AMELIA LINS - HMAL,0026980
INSTITUTO RAUL SOARES,0026999
HOSPITAL DOM BOSCO SA,0027006
SANTA CASA DE BELO HORIZONTE,0027014
HOSPITAL JULIA KUBITSCHEK,0027022
HOSPITAL GOVERNADOR ISRAEL PINHEIRO,0027030
HOSPITAL DAS CLINICAS DA UFMG,0027049
HOSPITAL SAO PAULO,0027065
CLINEMGE,0027111
UNIDADE DE PRONTO ATENDIMENTO LESTE,0027618
HOSPITAL SAO CAMILO SA,0027685
HOSPITAL SANTA LUCIA,0027723
NOROESTE HOSPITAL GERAL  PROMATER  BH,0027766
SANTA MARIA CENTRO DE ATENCAO EM PSIQUIATRIA,0027774
HOSPITAL ESPIRITA ANDRE LUIZ,0027812
HOSPITAL VERA CRUZ,0027847
